Year,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2016,A,0,G,SG_INT_VRTDEV,IO_UNGA,PT,0.5181
2017,A,0,G,SG_INT_VRTDEV,IO_UNGA,PT,0.5181
2018,A,0,G,SG_INT_VRTDEV,IO_UNGA,PT,0.5181
2019,A,0,G,SG_INT_VRTDEV,IO_UNGA,PT,0.5181
2020,A,0,G,SG_INT_VRTDEV,IO_UNGA,PT,0.5181
2021,A,0,G,SG_INT_VRTDEV,IO_UNGA,PT,0.51813
2000,A,0,G,SG_INT_VRTDEV,IO_UNSC,PT,6.6667
2005,A,0,G,SG_INT_VRTDEV,IO_UNSC,PT,6.6667
2010,A,0,G,SG_INT_VRTDEV,IO_UNSC,PT,6.6667
2015,A,0,G,SG_INT_VRTDEV,IO_UNSC,PT,6.6667
2016,A,0,G,SG_INT_VRTDEV,IO_UNSC,PT,6.6667
2017,A,0,G,SG_INT_VRTDEV,IO_UNSC,PT,6.6667
2018,A,0,G,SG_INT_VRTDEV,IO_UNSC,PT,6.6667
2019,A,0,G,SG_INT_VRTDEV,IO_UNSC,PT,6.6667
2020,A,0,G,SG_INT_VRTDEV,IO_UNSC,PT,6.667
2000,A,0,G,SG_INT_VRTDEV,IO_WTO,PT,0.7143
2005,A,0,G,SG_INT_VRTDEV,IO_WTO,PT,0.6711
2010,A,0,G,SG_INT_VRTDEV,IO_WTO,PT,0.6536
2015,A,0,G,SG_INT_VRTDEV,IO_WTO,PT,0.625
2016,A,0,G,SG_INT_VRTDEV,IO_WTO,PT,0.6173
2017,A,0,G,SG_INT_VRTDEV,IO_WTO,PT,0.6098
2018,A,0,G,SG_INT_VRTDEV,IO_WTO,PT,0.6098
2019,A,0,G,SG_INT_VRTDEV,IO_WTO,PT,0.6098
2020,A,0,G,SG_INT_VRTDEV,IO_WTO,PT,0.60976
2021,A,0,G,SG_INT_VRTDEV,IO_WTO,PT,0.60976
