Year,COMMENT_OBS,SERIES,CUST_BREAKDOWN,CUST_BREAKDOWN_LB,Value
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C706,Somalia,8.07733
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C706,Somalia,8.75248
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C710,South Africa,8.53432
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C710,South Africa,3.47013
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C710,South Africa,2.90627
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C710,South Africa,1.52713
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C716,Zimbabwe,8.32198
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C716,Zimbabwe,5.4459
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C716,Zimbabwe,5.80353
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C716,Zimbabwe,6.3419
2016,Obs_Value = NaN;  Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C728,South Sudan,11.32167
2017,Obs_Value = NaN;  Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C728,South Sudan,16.03512
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C76,Brazil,6.65735
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C76,Brazil,-1.34783
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C76,Brazil,2.14565
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C76,Brazil,2.48654
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C764,Thailand,13.09609
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C764,Thailand,3.17313
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C764,Thailand,2.7412
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C764,Thailand,2.26984
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C800,Uganda,9.95977
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C800,Uganda,3.35742
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C800,Uganda,3.1589
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C800,Uganda,3.95852
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C834,United Republic of Tanzania,11.64004
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C834,United Republic of Tanzania,4.75252
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C834,United Republic of Tanzania,5.27926
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C834,United Republic of Tanzania,5.80142
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C894,Zambia,9.94294
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C894,Zambia,10.88788
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C894,Zambia,7.62098
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C894,Zambia,8.62322
