Year,Age,Sex,Disability status,Ethnicity,Ethnic group,Employment status,Region,Local Authority,Observation status,Unit multiplier,GeoCode,Value
2013,,,,,,,East Midlands,Derby,Undefined,Units,E06000015,89.6
2014,,,,,,,East Midlands,Derby,Undefined,Units,E06000015,81.9
2015,,,,,,,East Midlands,Derby,Undefined,Units,E06000015,89.5
2016,,,,,,,East Midlands,Derby,Undefined,Units,E06000015,84.4
2017,,,,,,,East Midlands,Derby,Undefined,Units,E06000015,87.4
2018,,,,,,,East Midlands,Derby,Undefined,Units,E06000015,87.9
2019,,,,,,,East Midlands,Derby,Undefined,Units,E06000015,85.3
2020,,,,,,,East Midlands,Derby,Undefined,Units,E06000015,90.4
2013,,,,,,,East Midlands,East Derbyshire,Undefined,Units,,79.0
2014,,,,,,,East Midlands,East Derbyshire,Undefined,Units,,83.9
2015,,,,,,,East Midlands,East Derbyshire,Undefined,Units,,85.8
2016,,,,,,,East Midlands,East Derbyshire,Undefined,Units,,85.5
2017,,,,,,,East Midlands,East Derbyshire,Undefined,Units,,85.8
2018,,,,,,,East Midlands,East Derbyshire,Undefined,Units,,85.0
2019,,,,,,,East Midlands,East Derbyshire,Undefined,Units,,89.6
2020,,,,,,,East Midlands,East Derbyshire,Undefined,Units,,91.7
2013,,,,,,,East Midlands,Leicester,Undefined,Units,E06000016,80.6
2014,,,,,,,East Midlands,Leicester,Undefined,Units,E06000016,84.1
2015,,,,,,,East Midlands,Leicester,Undefined,Units,E06000016,85.7
2016,,,,,,,East Midlands,Leicester,Undefined,Units,E06000016,86.3
2017,,,,,,,East Midlands,Leicester,Undefined,Units,E06000016,87.1
2018,,,,,,,East Midlands,Leicester,Undefined,Units,E06000016,86.7
2019,,,,,,,East Midlands,Leicester,Undefined,Units,E06000016,89.7
2020,,,,,,,East Midlands,Leicester,Undefined,Units,E06000016,89.6
2013,,,,,,,East Midlands,Leicestershire CC and Rutland,Undefined,Units,,83.1
2014,,,,,,,East Midlands,Leicestershire CC and Rutland,Undefined,Units,,82.1
2015,,,,,,,East Midlands,Leicestershire CC and Rutland,Undefined,Units,,87.5
2016,,,,,,,East Midlands,Leicestershire CC and Rutland,Undefined,Units,,89.2
2017,,,,,,,East Midlands,Leicestershire CC and Rutland,Undefined,Units,,88.2
2018,,,,,,,East Midlands,Leicestershire CC and Rutland,Undefined,Units,,91.2
2019,,,,,,,East Midlands,Leicestershire CC and Rutland,Undefined,Units,,87.5
2020,,,,,,,East Midlands,Leicestershire CC and Rutland,Undefined,Units,,93.8
2013,,,,,,,East Midlands,Lincolnshire,Undefined,Units,,81.4
2014,,,,,,,East Midlands,Lincolnshire,Undefined,Units,,80.2
2015,,,,,,,East Midlands,Lincolnshire,Undefined,Units,,82.8
2016,,,,,,,East Midlands,Lincolnshire,Undefined,Units,,84.0
2017,,,,,,,East Midlands,Lincolnshire,Undefined,Units,,87.9
2018,,,,,,,East Midlands,Lincolnshire,Undefined,Units,,85.7
2019,,,,,,,East Midlands,Lincolnshire,Undefined,Units,,89.0
2020,,,,,,,East Midlands,Lincolnshire,Undefined,Units,,87.6
2017,,,,,,,East Midlands,North Northamptonshire,Undefined,Units,,90.8
2018,,,,,,,East Midlands,North Northamptonshire,Undefined,Units,,94.4
2019,,,,,,,East Midlands,North Northamptonshire,Undefined,Units,,90.7
2020,,,,,,,East Midlands,North Northamptonshire,Undefined,Units,,96.8
2013,,,,,,,East Midlands,North Nottinghamshire,Undefined,Units,,77.6
2014,,,,,,,East Midlands,North Nottinghamshire,Undefined,Units,,85.4
2015,,,,,,,East Midlands,North Nottinghamshire,Undefined,Units,,85.8
2016,,,,,,,East Midlands,North Nottinghamshire,Undefined,Units,,83.5
2017,,,,,,,East Midlands,North Nottinghamshire,Undefined,Units,,82.2
2018,,,,,,,East Midlands,North Nottinghamshire,Undefined,Units,,84.6
2019,,,,,,,East Midlands,North Nottinghamshire,Undefined,Units,,89.7
2020,,,,,,,East Midlands,North Nottinghamshire,Undefined,Units,,89.4
2013,,,,,,,East Midlands,Northamptonshire,Undefined,Units,,87.3
2014,,,,,,,East Midlands,Northamptonshire,Undefined,Units,,84.8
2015,,,,,,,East Midlands,Northamptonshire,Undefined,Units,,86.7
2016,,,,,,,East Midlands,Northamptonshire,Undefined,Units,,92.2
2013,,,,,,,East Midlands,Nottingham,Undefined,Units,E06000018,82.9
2014,,,,,,,East Midlands,Nottingham,Undefined,Units,E06000018,74.4
2015,,,,,,,East Midlands,Nottingham,Undefined,Units,E06000018,87.0
2016,,,,,,,East Midlands,Nottingham,Undefined,Units,E06000018,85.2
2017,,,,,,,East Midlands,Nottingham,Undefined,Units,E06000018,86.0
2018,,,,,,,East Midlands,Nottingham,Undefined,Units,E06000018,84.4
2019,,,,,,,East Midlands,Nottingham,Undefined,Units,E06000018,94.9
2020,,,,,,,East Midlands,Nottingham,Undefined,Units,E06000018,93.4
2013,,,,,,,East Midlands,South and West Derbyshire,Undefined,Units,,84.0
2014,,,,,,,East Midlands,South and West Derbyshire,Undefined,Units,,85.9
2015,,,,,,,East Midlands,South and West Derbyshire,Undefined,Units,,82.4
2016,,,,,,,East Midlands,South and West Derbyshire,Undefined,Units,,87.8
2017,,,,,,,East Midlands,South and West Derbyshire,Undefined,Units,,89.6
2018,,,,,,,East Midlands,South and West Derbyshire,Undefined,Units,,89.5
2019,,,,,,,East Midlands,South and West Derbyshire,Undefined,Units,,90.9
2020,,,,,,,East Midlands,South and West Derbyshire,Undefined,Units,,91.5
2013,,,,,,,East Midlands,South Nottinghamshire,Undefined,Units,,83.5
2014,,,,,,,East Midlands,South Nottinghamshire,Undefined,Units,,85.7
2015,,,,,,,East Midlands,South Nottinghamshire,Undefined,Units,,89.0
2016,,,,,,,East Midlands,South Nottinghamshire,Undefined,Units,,82.2
2017,,,,,,,East Midlands,South Nottinghamshire,Undefined,Units,,88.7
2018,,,,,,,East Midlands,South Nottinghamshire,Undefined,Units,,89.5
2019,,,,,,,East Midlands,South Nottinghamshire,Undefined,Units,,92.2
2020,,,,,,,East Midlands,South Nottinghamshire,Undefined,Units,,89.1
2017,,,,,,,East Midlands,West Northamptonshire,Undefined,Units,,91.6
2018,,,,,,,East Midlands,West Northamptonshire,Undefined,Units,,93.6
2019,,,,,,,East Midlands,West Northamptonshire,Undefined,Units,,91.7
2020,,,,,,,East Midlands,West Northamptonshire,Undefined,Units,,93.9
2013,,,,,,,East Midlands,,Undefined,Units,E12000004,83.0
2014,,,,,,,East Midlands,,Undefined,Units,E12000004,82.9
2015,,,,,,,East Midlands,,Undefined,Units,E12000004,85.8
2016,,,,,,,East Midlands,,Undefined,Units,E12000004,86.6
2017,,,,,,,East Midlands,,Undefined,Units,E12000004,87.8
2018,,,,,,,East Midlands,,Undefined,Units,E12000004,88.4
2019,,,,,,,East Midlands,,Undefined,Units,E12000004,89.9
2020,,,,,,,East Midlands,,Undefined,Units,E12000004,91.3
2017,,,,,,,East of England,Bedford,Undefined,Units,E06000055,88.5
2018,,,,,,,East of England,Bedford,Undefined,Units,E06000055,92.3
2019,,,,,,,East of England,Bedford,Undefined,Units,E06000055,94.9
2020,,,,,,,East of England,Bedford,Undefined,Units,E06000055,88.9
2013,,,,,,,East of England,Bedfordshire CC,Undefined,Units,,85.9
2014,,,,,,,East of England,Bedfordshire CC,Undefined,Units,,87.7
2015,,,,,,,East of England,Bedfordshire CC,Undefined,Units,,90.2
2016,,,,,,,East of England,Bedfordshire CC,Undefined,Units,,91.0
2017,,,,,,,East of England,Breckland and South Norfolk,Undefined,Units,,86.2
2018,,,,,,,East of England,Breckland and South Norfolk,Undefined,Units,,88.0
2019,,,,,,,East of England,Breckland and South Norfolk,Undefined,Units,,92.5
2020,,,,,,,East of England,Breckland and South Norfolk,Undefined,Units,,88.8
2013,,,,,,,East of England,Cambridgeshire CC,Undefined,Units,,84.2
2014,,,,,,,East of England,Cambridgeshire CC,Undefined,Units,,91.7
2015,,,,,,,East of England,Cambridgeshire CC,Undefined,Units,,88.5
2016,,,,,,,East of England,Cambridgeshire CC,Undefined,Units,,90.6
2017,,,,,,,East of England,Cambridgeshire CC,Undefined,Units,,88.2
2018,,,,,,,East of England,Cambridgeshire CC,Undefined,Units,,91.5
2019,,,,,,,East of England,Cambridgeshire CC,Undefined,Units,,92.2
2020,,,,,,,East of England,Cambridgeshire CC,Undefined,Units,,93.1
2017,,,,,,,East of England,Central Bedfordshire,Undefined,Units,E06000056,93.4
2018,,,,,,,East of England,Central Bedfordshire,Undefined,Units,E06000056,93.1
2019,,,,,,,East of England,Central Bedfordshire,Undefined,Units,E06000056,91.0
2020,,,,,,,East of England,Central Bedfordshire,Undefined,Units,E06000056,94.4
2013,,,,,,,East of England,Essex CC,Undefined,Units,,85.5
2014,,,,,,,East of England,Essex CC,Undefined,Units,,84.9
2015,,,,,,,East of England,Essex CC,Undefined,Units,,86.7
2016,,,,,,,East of England,Essex CC,Undefined,Units,,89.0
2017,,,,,,,East of England,Essex Haven Gateway,Undefined,Units,,88.3
2018,,,,,,,East of England,Essex Haven Gateway,Undefined,Units,,91.1
2019,,,,,,,East of England,Essex Haven Gateway,Undefined,Units,,92.4
2020,,,,,,,East of England,Essex Haven Gateway,Undefined,Units,,92.7
2017,,,,,,,East of England,Essex Thames Gateway,Undefined,Units,,90.0
2018,,,,,,,East of England,Essex Thames Gateway,Undefined,Units,,83.1
2019,,,,,,,East of England,Essex Thames Gateway,Undefined,Units,,87.3
2020,,,,,,,East of England,Essex Thames Gateway,Undefined,Units,,89.7
2017,,,,,,,East of England,Heart of Essex,Undefined,Units,,95.5
2018,,,,,,,East of England,Heart of Essex,Undefined,Units,,93.2
2019,,,,,,,East of England,Heart of Essex,Undefined,Units,,94.5
2020,,,,,,,East of England,Heart of Essex,Undefined,Units,,97.3
2013,,,,,,,East of England,Hertfordshire,Undefined,Units,,88.1
2014,,,,,,,East of England,Hertfordshire,Undefined,Units,,90.6
2015,,,,,,,East of England,Hertfordshire,Undefined,Units,,88.8
2016,,,,,,,East of England,Hertfordshire,Undefined,Units,,91.1
2017,,,,,,,East of England,Hertfordshire,Undefined,Units,,91.3
2018,,,,,,,East of England,Hertfordshire,Undefined,Units,,91.2
2019,,,,,,,East of England,Hertfordshire,Undefined,Units,,92.5
2020,,,,,,,East of England,Hertfordshire,Undefined,Units,,93.0
2013,,,,,,,East of England,Luton,Undefined,Units,E06000032,91.3
2014,,,,,,,East of England,Luton,Undefined,Units,E06000032,86.1
2015,,,,,,,East of England,Luton,Undefined,Units,E06000032,82.5
2016,,,,,,,East of England,Luton,Undefined,Units,E06000032,81.7
2017,,,,,,,East of England,Luton,Undefined,Units,E06000032,89.9
2018,,,,,,,East of England,Luton,Undefined,Units,E06000032,92.4
2019,,,,,,,East of England,Luton,Undefined,Units,E06000032,93.4
2020,,,,,,,East of England,Luton,Undefined,Units,E06000032,77.8
2013,,,,,,,East of England,Norfolk,Undefined,Units,,78.3
2014,,,,,,,East of England,Norfolk,Undefined,Units,,84.1
2015,,,,,,,East of England,Norfolk,Undefined,Units,,85.4
2016,,,,,,,East of England,Norfolk,Undefined,Units,,87.2
2017,,,,,,,East of England,North and West Norfolk,Undefined,Units,,89.8
2018,,,,,,,East of England,North and West Norfolk,Undefined,Units,,90.7
2019,,,,,,,East of England,North and West Norfolk,Undefined,Units,,89.1
2020,,,,,,,East of England,North and West Norfolk,Undefined,Units,,89.7
2017,,,,,,,East of England,Norwich and East Norfolk,Undefined,Units,,88.4
2018,,,,,,,East of England,Norwich and East Norfolk,Undefined,Units,,91.0
2019,,,,,,,East of England,Norwich and East Norfolk,Undefined,Units,,90.6
2020,,,,,,,East of England,Norwich and East Norfolk,Undefined,Units,,93.6
2013,,,,,,,East of England,Peterborough,Undefined,Units,E06000031,76.4
2014,,,,,,,East of England,Peterborough,Undefined,Units,E06000031,88.8
2015,,,,,,,East of England,Peterborough,Undefined,Units,E06000031,94.6
2016,,,,,,,East of England,Peterborough,Undefined,Units,E06000031,87.2
2017,,,,,,,East of England,Peterborough,Undefined,Units,E06000031,93.1
2018,,,,,,,East of England,Peterborough,Undefined,Units,E06000031,94.4
2019,,,,,,,East of England,Peterborough,Undefined,Units,E06000031,90.4
2020,,,,,,,East of England,Peterborough,Undefined,Units,E06000031,95.5
2013,,,,,,,East of England,Southend-on-Sea,Undefined,Units,E06000033,82.1
2014,,,,,,,East of England,Southend-on-Sea,Undefined,Units,E06000033,90.7
2015,,,,,,,East of England,Southend-on-Sea,Undefined,Units,E06000033,84.8
2016,,,,,,,East of England,Southend-on-Sea,Undefined,Units,E06000033,84.7
2017,,,,,,,East of England,Southend-on-Sea,Undefined,Units,E06000033,88.4
2018,,,,,,,East of England,Southend-on-Sea,Undefined,Units,E06000033,95.0
2019,,,,,,,East of England,Southend-on-Sea,Undefined,Units,E06000033,92.9
2020,,,,,,,East of England,Southend-on-Sea,Undefined,Units,E06000033,96.3
2013,,,,,,,East of England,Suffolk,Undefined,Units,,82.6
2014,,,,,,,East of England,Suffolk,Undefined,Units,,82.4
2015,,,,,,,East of England,Suffolk,Undefined,Units,,83.9
2016,,,,,,,East of England,Suffolk,Undefined,Units,,89.8
2017,,,,,,,East of England,Suffolk,Undefined,Units,,89.8
2018,,,,,,,East of England,Suffolk,Undefined,Units,,90.6
2019,,,,,,,East of England,Suffolk,Undefined,Units,,91.7
2020,,,,,,,East of England,Suffolk,Undefined,Units,,91.1
2013,,,,,,,East of England,Thurrock,Undefined,Units,E06000034,87.7
2014,,,,,,,East of England,Thurrock,Undefined,Units,E06000034,92.0
2015,,,,,,,East of England,Thurrock,Undefined,Units,E06000034,94.9
2016,,,,,,,East of England,Thurrock,Undefined,Units,E06000034,80.7
2017,,,,,,,East of England,Thurrock,Undefined,Units,E06000034,90.5
2018,,,,,,,East of England,Thurrock,Undefined,Units,E06000034,86.7
2019,,,,,,,East of England,Thurrock,Undefined,Units,E06000034,98.2
2020,,,,,,,East of England,Thurrock,Undefined,Units,E06000034,93.8
2017,,,,,,,East of England,West Essex,Undefined,Units,,95.0
2018,,,,,,,East of England,West Essex,Undefined,Units,,86.3
2019,,,,,,,East of England,West Essex,Undefined,Units,,91.9
2020,,,,,,,East of England,West Essex,Undefined,Units,,94.5
2013,,,,,,,East of England,,Undefined,Units,E12000006,84.3
2014,,,,,,,East of England,,Undefined,Units,E12000006,87.0
2015,,,,,,,East of England,,Undefined,Units,E12000006,87.2
2016,,,,,,,East of England,,Undefined,Units,E12000006,88.9
2017,,,,,,,East of England,,Undefined,Units,E12000006,90.3
2018,,,,,,,East of England,,Undefined,Units,E12000006,90.6
2019,,,,,,,East of England,,Undefined,Units,E12000006,92.0
2020,,,,,,,East of England,,Undefined,Units,E12000006,92.2
2017,,,,,,,London,Barking & Dagenham and Havering,Undefined,Units,,92.2
2018,,,,,,,London,Barking & Dagenham and Havering,Undefined,Units,,93.3
2019,,,,,,,London,Barking & Dagenham and Havering,Undefined,Units,,91.0
2020,,,,,,,London,Barking & Dagenham and Havering,Undefined,Units,,92.0
2017,,,,,,,London,Barnet,Undefined,Units,E09000003,87.6
2018,,,,,,,London,Barnet,Undefined,Units,E09000003,89.1
2019,,,,,,,London,Barnet,Undefined,Units,E09000003,92.1
2020,,,,,,,London,Barnet,Undefined,Units,E09000003,95.6
2017,,,,,,,London,Bexley and Greenwich,Undefined,Units,,93.6
2018,,,,,,,London,Bexley and Greenwich,Undefined,Units,,91.7
2019,,,,,,,London,Bexley and Greenwich,Undefined,Units,,97.8
2020,,,,,,,London,Bexley and Greenwich,Undefined,Units,,97.4
2017,,,,,,,London,Brent,Undefined,Units,E09000005,85.6
2018,,,,,,,London,Brent,Undefined,Units,E09000005,93.4
2019,,,,,,,London,Brent,Undefined,Units,E09000005,90.2
2020,,,,,,,London,Brent,Undefined,Units,E09000005,96.7
2017,,,,,,,London,Bromley,Undefined,Units,E09000006,92.3
2018,,,,,,,London,Bromley,Undefined,Units,E09000006,91.7
2019,,,,,,,London,Bromley,Undefined,Units,E09000006,94.5
2020,,,,,,,London,Bromley,Undefined,Units,E09000006,95.5
2017,,,,,,,London,Camden and City of London,Undefined,Units,,91.8
2018,,,,,,,London,Camden and City of London,Undefined,Units,,97.0
2019,,,,,,,London,Camden and City of London,Undefined,Units,,96.4
2020,,,,,,,London,Camden and City of London,Undefined,Units,,98.3
2017,,,,,,,London,Croydon,Undefined,Units,E09000008,93.2
2018,,,,,,,London,Croydon,Undefined,Units,E09000008,92.9
2019,,,,,,,London,Croydon,Undefined,Units,E09000008,88.5
2020,,,,,,,London,Croydon,Undefined,Units,E09000008,99.1
2017,,,,,,,London,Ealing,Undefined,Units,E09000009,93.8
2018,,,,,,,London,Ealing,Undefined,Units,E09000009,93.7
2019,,,,,,,London,Ealing,Undefined,Units,E09000009,94.7
2020,,,,,,,London,Ealing,Undefined,Units,E09000009,95.2
2017,,,,,,,London,Enfield,Undefined,Units,E09000010,88.2
2018,,,,,,,London,Enfield,Undefined,Units,E09000010,89.8
2019,,,,,,,London,Enfield,Undefined,Units,E09000010,92.3
2020,,,,,,,London,Enfield,Undefined,Units,E09000010,91.9
2017,,,,,,,London,Hackney and Newham,Undefined,Units,,93.0
2018,,,,,,,London,Hackney and Newham,Undefined,Units,,89.3
2019,,,,,,,London,Hackney and Newham,Undefined,Units,,95.4
2020,,,,,,,London,Hackney and Newham,Undefined,Units,,93.1
2017,,,,,,,London,Haringey and Islington,Undefined,Units,,95.0
2018,,,,,,,London,Haringey and Islington,Undefined,Units,,90.8
2019,,,,,,,London,Haringey and Islington,Undefined,Units,,93.0
2020,,,,,,,London,Haringey and Islington,Undefined,Units,,96.9
2017,,,,,,,London,Harrow and Hillingdon,Undefined,Units,,91.6
2018,,,,,,,London,Harrow and Hillingdon,Undefined,Units,,88.4
2019,,,,,,,London,Harrow and Hillingdon,Undefined,Units,,92.9
2020,,,,,,,London,Harrow and Hillingdon,Undefined,Units,,91.2
2017,,,,,,,London,Hounslow and Richmond upon Thames,Undefined,Units,,93.9
2018,,,,,,,London,Hounslow and Richmond upon Thames,Undefined,Units,,95.6
2019,,,,,,,London,Hounslow and Richmond upon Thames,Undefined,Units,,92.8
2020,,,,,,,London,Hounslow and Richmond upon Thames,Undefined,Units,,92.9
2013,,,,,,,London,Inner London - East,Undefined,Units,,88.8
2014,,,,,,,London,Inner London - East,Undefined,Units,,90.1
2015,,,,,,,London,Inner London - East,Undefined,Units,,89.7
2016,,,,,,,London,Inner London - East,Undefined,Units,,91.4
2013,,,,,,,London,Inner London - West,Undefined,Units,,89.7
2014,,,,,,,London,Inner London - West,Undefined,Units,,91.1
2015,,,,,,,London,Inner London - West,Undefined,Units,,90.6
2016,,,,,,,London,Inner London - West,Undefined,Units,,92.1
2017,,,,,,,London,Kensington & Chelsea and Hammersmith & Fulham,Undefined,Units,,95.6
2018,,,,,,,London,Kensington & Chelsea and Hammersmith & Fulham,Undefined,Units,,95.8
2019,,,,,,,London,Kensington & Chelsea and Hammersmith & Fulham,Undefined,Units,,97.1
2020,,,,,,,London,Kensington & Chelsea and Hammersmith & Fulham,Undefined,Units,,94.1
2017,,,,,,,London,Lambeth,Undefined,Units,E09000022,95.0
2018,,,,,,,London,Lambeth,Undefined,Units,E09000022,92.7
2019,,,,,,,London,Lambeth,Undefined,Units,E09000022,95.2
2020,,,,,,,London,Lambeth,Undefined,Units,E09000022,94.9
2017,,,,,,,London,Lewisham and Southwark,Undefined,Units,,94.5
2018,,,,,,,London,Lewisham and Southwark,Undefined,Units,,92.5
2019,,,,,,,London,Lewisham and Southwark,Undefined,Units,,95.7
2020,,,,,,,London,Lewisham and Southwark,Undefined,Units,,96.9
2017,,,,,,,London,"Merton, Kingston upon Thames and Sutton",Undefined,Units,,94.1
2018,,,,,,,London,"Merton, Kingston upon Thames and Sutton",Undefined,Units,,96.4
2019,,,,,,,London,"Merton, Kingston upon Thames and Sutton",Undefined,Units,,94.9
2020,,,,,,,London,"Merton, Kingston upon Thames and Sutton",Undefined,Units,,95.8
2013,,,,,,,London,Outer London - East and North East,Undefined,Units,,86.1
2014,,,,,,,London,Outer London - East and North East,Undefined,Units,,84.4
2015,,,,,,,London,Outer London - East and North East,Undefined,Units,,88.3
2016,,,,,,,London,Outer London - East and North East,Undefined,Units,,88.9
2013,,,,,,,London,Outer London - South,Undefined,Units,,88.0
2014,,,,,,,London,Outer London - South,Undefined,Units,,89.9
2015,,,,,,,London,Outer London - South,Undefined,Units,,89.5
2016,,,,,,,London,Outer London - South,Undefined,Units,,90.9
2013,,,,,,,London,Outer London - West and North West,Undefined,Units,,87.0
2014,,,,,,,London,Outer London - West and North West,Undefined,Units,,87.0
2015,,,,,,,London,Outer London - West and North West,Undefined,Units,,89.4
2016,,,,,,,London,Outer London - West and North West,Undefined,Units,,91.6
2017,,,,,,,London,Redbridge and Waltham Forest,Undefined,Units,,93.5
2018,,,,,,,London,Redbridge and Waltham Forest,Undefined,Units,,91.4
2019,,,,,,,London,Redbridge and Waltham Forest,Undefined,Units,,88.4
2020,,,,,,,London,Redbridge and Waltham Forest,Undefined,Units,,97.2
2017,,,,,,,London,Tower Hamlets,Undefined,Units,E09000030,88.8
2018,,,,,,,London,Tower Hamlets,Undefined,Units,E09000030,95.4
2019,,,,,,,London,Tower Hamlets,Undefined,Units,E09000030,86.8
2020,,,,,,,London,Tower Hamlets,Undefined,Units,E09000030,91.3
2017,,,,,,,London,Wandsworth,Undefined,Units,E09000032,96.6
2018,,,,,,,London,Wandsworth,Undefined,Units,E09000032,94.2
2019,,,,,,,London,Wandsworth,Undefined,Units,E09000032,93.2
2020,,,,,,,London,Wandsworth,Undefined,Units,E09000032,95.1
2017,,,,,,,London,Westminster,Undefined,Units,E09000033,91.5
2018,,,,,,,London,Westminster,Undefined,Units,E09000033,93.9
2019,,,,,,,London,Westminster,Undefined,Units,E09000033,85.9
2020,,,,,,,London,Westminster,Undefined,Units,E09000033,90.7
2013,,,,,,,London,,Undefined,Units,E12000007,87.8
2014,,,,,,,London,,Undefined,Units,E12000007,88.3
2015,,,,,,,London,,Undefined,Units,E12000007,89.5
2016,,,,,,,London,,Undefined,Units,E12000007,91.0
2017,,,,,,,London,,Undefined,Units,E12000007,92.7
2018,,,,,,,London,,Undefined,Units,E12000007,92.6
2019,,,,,,,London,,Undefined,Units,E12000007,93.0
2020,,,,,,,London,,Undefined,Units,E12000007,94.9
2013,,,,,,,North East,Darlington,Undefined,Units,E06000005,74.4
2014,,,,,,,North East,Darlington,Undefined,Units,E06000005,85.2
2015,,,,,,,North East,Darlington,Undefined,Units,E06000005,86.2
2016,,,,,,,North East,Darlington,Undefined,Units,E06000005,85.2
2017,,,,,,,North East,Darlington,Undefined,Units,E06000005,90.0
2018,,,,,,,North East,Darlington,Undefined,Units,E06000005,91.8
2019,,,,,,,North East,Darlington,Undefined,Units,E06000005,82.4
2020,,,,,,,North East,Darlington,Undefined,Units,E06000005,92.1
2013,,,,,,,North East,Durham CC,Undefined,Units,,77.4
2014,,,,,,,North East,Durham CC,Undefined,Units,,78.9
2015,,,,,,,North East,Durham CC,Undefined,Units,,81.7
2016,,,,,,,North East,Durham CC,Undefined,Units,,82.8
2017,,,,,,,North East,Durham CC,Undefined,Units,,83.1
2018,,,,,,,North East,Durham CC,Undefined,Units,,83.2
2019,,,,,,,North East,Durham CC,Undefined,Units,,89.1
2020,,,,,,,North East,Durham CC,Undefined,Units,,84.9
2013,,,,,,,North East,Hartlepool and Stockton-on-Tees,Undefined,Units,,75.4
2014,,,,,,,North East,Hartlepool and Stockton-on-Tees,Undefined,Units,,78.9
2015,,,,,,,North East,Hartlepool and Stockton-on-Tees,Undefined,Units,,87.4
2016,,,,,,,North East,Hartlepool and Stockton-on-Tees,Undefined,Units,,85.6
2017,,,,,,,North East,Hartlepool and Stockton-on-Tees,Undefined,Units,,87.0
2018,,,,,,,North East,Hartlepool and Stockton-on-Tees,Undefined,Units,,89.7
2019,,,,,,,North East,Hartlepool and Stockton-on-Tees,Undefined,Units,,83.3
2020,,,,,,,North East,Hartlepool and Stockton-on-Tees,Undefined,Units,,88.3
2013,,,,,,,North East,Northumberland,Undefined,Units,E06000057,84.3
2014,,,,,,,North East,Northumberland,Undefined,Units,E06000057,79.5
2015,,,,,,,North East,Northumberland,Undefined,Units,E06000057,81.7
2016,,,,,,,North East,Northumberland,Undefined,Units,E06000057,79.8
2017,,,,,,,North East,Northumberland,Undefined,Units,E06000057,87.2
2018,,,,,,,North East,Northumberland,Undefined,Units,E06000057,91.5
2019,,,,,,,North East,Northumberland,Undefined,Units,E06000057,88.6
2020,,,,,,,North East,Northumberland,Undefined,Units,E06000057,89.4
2013,,,,,,,North East,South Teesside,Undefined,Units,,85.5
2014,,,,,,,North East,South Teesside,Undefined,Units,,85.5
2015,,,,,,,North East,South Teesside,Undefined,Units,,82.0
2016,,,,,,,North East,South Teesside,Undefined,Units,,84.0
2017,,,,,,,North East,South Teesside,Undefined,Units,,90.3
2018,,,,,,,North East,South Teesside,Undefined,Units,,85.7
2019,,,,,,,North East,South Teesside,Undefined,Units,,86.9
2020,,,,,,,North East,South Teesside,Undefined,Units,,88.0
2013,,,,,,,North East,Sunderland,Undefined,Units,E08000024,79.7
2014,,,,,,,North East,Sunderland,Undefined,Units,E08000024,78.2
2015,,,,,,,North East,Sunderland,Undefined,Units,E08000024,81.9
2016,,,,,,,North East,Sunderland,Undefined,Units,E08000024,80.5
2017,,,,,,,North East,Sunderland,Undefined,Units,E08000024,82.5
2018,,,,,,,North East,Sunderland,Undefined,Units,E08000024,90.9
2019,,,,,,,North East,Sunderland,Undefined,Units,E08000024,79.5
2020,,,,,,,North East,Sunderland,Undefined,Units,E08000024,90.3
2013,,,,,,,North East,Tyneside,Undefined,Units,,78.7
2014,,,,,,,North East,Tyneside,Undefined,Units,,83.4
2015,,,,,,,North East,Tyneside,Undefined,Units,,78.7
2016,,,,,,,North East,Tyneside,Undefined,Units,,82.5
2017,,,,,,,North East,Tyneside,Undefined,Units,,83.2
2018,,,,,,,North East,Tyneside,Undefined,Units,,87.3
2019,,,,,,,North East,Tyneside,Undefined,Units,,91.4
2020,,,,,,,North East,Tyneside,Undefined,Units,,90.0
2013,,,,,,,North East,,Undefined,Units,E12000001,79.4
2014,,,,,,,North East,,Undefined,Units,E12000001,81.3
2015,,,,,,,North East,,Undefined,Units,E12000001,81.6
2016,,,,,,,North East,,Undefined,Units,E12000001,82.6
2017,,,,,,,North East,,Undefined,Units,E12000001,85.0
2018,,,,,,,North East,,Undefined,Units,E12000001,87.6
2019,,,,,,,North East,,Undefined,Units,E12000001,87.7
2020,,,,,,,North East,,Undefined,Units,E12000001,88.6
2013,,,,,,,North West,Blackburn with Darwen,Undefined,Units,E06000008,83.1
2014,,,,,,,North West,Blackburn with Darwen,Undefined,Units,E06000008,78.6
2015,,,,,,,North West,Blackburn with Darwen,Undefined,Units,E06000008,77.8
2016,,,,,,,North West,Blackburn with Darwen,Undefined,Units,E06000008,77.9
2017,,,,,,,North West,Blackburn with Darwen,Undefined,Units,E06000008,87.2
2018,,,,,,,North West,Blackburn with Darwen,Undefined,Units,E06000008,89.1
2019,,,,,,,North West,Blackburn with Darwen,Undefined,Units,E06000008,90.9
2020,,,,,,,North West,Blackburn with Darwen,Undefined,Units,E06000008,84.6
2013,,,,,,,North West,Blackpool,Undefined,Units,E06000009,79.1
2014,,,,,,,North West,Blackpool,Undefined,Units,E06000009,83.7
2015,,,,,,,North West,Blackpool,Undefined,Units,E06000009,69.0
2016,,,,,,,North West,Blackpool,Undefined,Units,E06000009,89.0
2017,,,,,,,North West,Blackpool,Undefined,Units,E06000009,89.1
2018,,,,,,,North West,Blackpool,Undefined,Units,E06000009,89.3
