Year,COMMENT_OBS,SERIES,UNIT_MEASURE,BASE_PER,Value
2011,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,252.0
2012,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,185.0
2013,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,270.0
2014,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,206.0
2015,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,218.0
2016,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,266.0
2017,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,222.0
2018,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,294.0
2019,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,224.0
2000,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2001,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2002,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2003,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2004,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2005,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2006,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.0
2007,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2008,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2009,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2010,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2011,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2012,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2013,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2014,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2015,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2016,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2017,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2018,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2019,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_SIDSG,PT,,0.01
2000,"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",DC_ODA_TOTG,PT,,0.31749
2001,"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",DC_ODA_TOTG,PT,,0.31902
2002,"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",DC_ODA_TOTG,PT,,0.30902
2003,"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",DC_ODA_TOTG,PT,,0.34228
2004,"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",DC_ODA_TOTG,PT,,0.36267
2005,"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",DC_ODA_TOTG,PT,,0.47269
2006,"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",DC_ODA_TOTG,PT,,0.51408
2007,"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",DC_ODA_TOTG,PT,,0.35531
2008,"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",DC_ODA_TOTG,PT,,0.43037
2009,"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",DC_ODA_TOTG,PT,,0.50755
2010,"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",DC_ODA_TOTG,PT,,0.5726
2011,"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",DC_ODA_TOTG,PT,,0.56249
2012,"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",DC_ODA_TOTG,PT,,0.56192
2013,"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",DC_ODA_TOTG,PT,,0.70467
